number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
498,7.796863440792853e-05,227,0.2967088137977102,0.10331694325003153,0.1785984325076554,0.0003645674194043558,3,1888,416.0,1632.0
297,7.803235397053261e-05,191,0.28399214459153355,0.1475813518970023,0.19085883762518865,0.0003860922164118681,3,1696,480.0,1632.0
690,7.815500054372629e-05,127,0.11442115500040284,0.10928673263665693,0.1254502790642393,0.0004539601458337196,3,1760,480.0,1312.0
1351,7.860214172978885e-05,123,0.23189611825356518,0.14050234509024595,0.10869929542637413,0.00047275243065476457,3,1888,352.0,1632.0
378,7.877675804290145e-05,266,0.38589461319638363,0.16629839048444192,0.12118011691292274,0.00036053214513719013,3,1696,480.0,1632.0
6231,7.928623041758935e-05,163,0.15288296148190955,0.10563854838863998,0.1236403495834239,0.00040993255477337156,3,1696,352.0,1504.0
310,7.936041547509375e-05,217,0.4016885437375362,0.14107882949460093,0.1001066945990021,0.00036254838811151837,3,1824,480.0,1504.0
4359,7.936150832392741e-05,185,0.1363333516809694,0.21682844882974253,0.13822379247072206,0.0004019297878187194,3,1760,416.0,1440.0
4433,7.95172974903835e-05,215,0.14016582925193696,0.10288066631761225,0.12252028972428038,0.000333559386314435,3,1760,352.0,1696.0
1947,7.951976719292968e-05,237,0.29917358703961927,0.13163036834183778,0.10859872727125547,0.000436542354588401,3,1760,416.0,1440.0
5269,7.958916418526011e-05,221,0.3249788505786805,0.10505050886465221,0.12614022508351252,0.000440244440245314,3,1888,352.0,1696.0
5518,7.964085610486411e-05,90,0.23976948387585525,0.13774767377168667,0.13710716178309015,0.0005359504102941618,3,1760,416.0,1632.0
669,7.979866362196238e-05,177,0.10942917590689083,0.11599866011258983,0.11925110564865987,0.00046932766513055275,3,1696,480.0,1376.0
3931,7.994564208881153e-05,160,0.3323433485948425,0.1517512823720385,0.11263619453818474,0.0003850716871599493,3,1760,416.0,1504.0
