number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
64,0.0002261370730896791,493,0.2609507424068107,0.13062062069966293,,0.000735976737127019,2,1468,2044.0,
51,0.00023034134598371264,415,0.2265734141511365,0.34169197685837766,0.15011711519193635,0.00028569448542388286,3,572,444.0,1660.0
25,0.00023320745676755906,244,0.2544656503510297,0.10021853388685707,,0.0002929259682683535,2,956,1788.0,
921,0.00023452739260392262,234,0.12174827765075429,0.3319836939001603,0.13724419092842519,0.0004121379954722383,3,828,1916.0,2044.0
56,0.0002352869351549695,648,0.27243404703441315,0.11979751617207625,,0.000550270004190316,2,1020,1916.0,
22,0.00023623673429635044,363,0.18852548777377712,,,0.00023810885790736587,1,1020,,
215,0.00023685789225661816,478,0.27033779586574314,0.33684708538200103,0.17538586424029717,0.00039844061279409033,3,1020,1852.0,1916.0
117,0.00023751219026356315,368,0.2921235285226528,0.207660855415769,0.12153287548812686,0.000626292417569237,3,1020,1916.0,1468.0
342,0.00023793770718233038,267,0.2810112571903841,0.11674371235610666,0.16438577847123054,0.0005256584125611125,3,1404,380.0,1532.0
26,0.00023823050238812963,255,0.24927133219706105,0.10512724825073123,,0.00032446804327153833,2,1020,2108.0,
53,0.00023831770134468872,478,0.22563649415163253,0.3417828469154505,,0.00026343263107156357,2,1404,1916.0,
521,0.00023872707485376546,255,0.28914496534916867,0.1219765484266419,0.16558205147440494,0.0003141740922970583,3,1148,316.0,1596.0
227,0.00023889789639118438,481,0.2759611163333701,0.3178880037234884,0.1824138836114216,0.0004427081741034924,3,1084,1596.0,1596.0
212,0.00023894036470058685,243,0.18843262134864863,0.3406386110454778,0.1534234563274681,0.00040645340884296483,3,892,1788.0,1980.0
178,0.00023898886477885146,254,0.22124212022540668,0.3474043260750569,0.1627150129374703,0.00028727301820313534,3,828,1788.0,1852.0
101,0.00023979323984046156,236,0.26902290924270744,0.10647836956662125,,0.000413244311489737,2,892,1596.0,
55,0.00024075873419254396,246,0.2527307127748101,0.12305972329019099,,0.0005233697132589335,2,764,2108.0,
82,0.00024143189900011446,323,0.2116493752998946,0.1186125086409845,0.15760692274690632,0.0001642776253926638,3,828,1852.0,1788.0
0,0.0002416126565852513,394,0.19260883029510945,,,0.0002772097855518196,1,700,,
21,0.00024224019531781475,530,0.2344303455011279,0.10073109604495945,,0.0002316376258306124,2,444,1596.0,
116,0.0002454174459368611,460,0.2635403222764004,0.13042571742268402,,0.0005783628924665088,2,1788,1788.0,
1726,0.0002460517314223883,225,0.15570846275707304,0.45220006260914863,0.1490103607763248,0.00031053177327279065,3,1020,1980.0,1596.0
60,0.0002461610771812654,566,0.2529614692913964,0.11462198694245201,,0.00022062736154749286,2,956,1916.0,
72,0.00024761198583291846,357,0.2734479018670671,0.2339382759994766,0.15243007724878896,0.000495830040961817,3,956,1916.0,1660.0
63,0.00024786691598516577,475,0.2599507333270437,0.12796950647469169,,0.00033029918515907345,2,1788,1660.0,
6,0.0002485272062282699,695,0.20040543207732692,,,2.9309322133382072e-05,1,1020,,
254,0.0002488277483886729,225,0.2658238516345134,0.3348073931144225,0.17744130715600656,0.000355981072407328,3,1276,636.0,1724.0
2318,0.00024884761054029997,256,0.14471305756980793,0.33174869481955077,0.1552542628976365,0.00040772758560781314,3,1404,1980.0,1916.0
380,0.0002489488955082682,373,0.28427018180635966,0.18331311406824338,0.1409357364612817,0.0002763215987393787,3,1020,1916.0,1852.0
75,0.0002490761151420884,359,0.20795680078841533,0.35273851396893147,0.1578960320560681,0.00030945202876533993,3,828,1852.0,1852.0
19,0.0002496393314989594,327,0.20814801313180756,0.31192050178618347,,0.0008672091060584107,2,508,828.0,
2457,0.00025025013067837186,401,0.18127045645227677,0.12216811763044659,0.3166931172541677,0.0004321794394937325,3,956,1724.0,1404.0
505,0.0002508153813929918,479,0.24739284741738696,0.11932620138247509,0.14535206404588216,0.0004206246885430042,3,1020,700.0,1788.0
625,0.00025107994515565223,481,0.16737018180305843,0.127628653202856,0.15342164637260577,0.00046744347512216357,3,892,444.0,1916.0
205,0.0002520459379108312,364,0.21068069213336582,0.10005632742455707,0.20514966311403443,0.0002179049610353203,3,828,1852.0,1276.0
1662,0.0002523613817174919,224,0.1067343748153869,0.12039009209514384,0.2948626245485575,0.00039776744103046946,3,956,764.0,1788.0
423,0.00025274798050910853,625,0.17272930032846057,0.33232255991833626,0.15113132006266589,0.0002856281364837795,3,892,892.0,1916.0
6238,0.00025297994191835946,476,0.2142869881104776,0.2590284563576548,0.17643599588189623,0.00033115701907003873,3,1020,1852.0,1852.0
135,0.0002533682668096541,342,0.1980337869391337,0.10516532370092893,0.13855835610940717,0.00020971150933883008,3,956,1596.0,1724.0
5707,0.00025341105744397887,483,0.2558038953916635,0.1235476596439443,0.14658692224537645,0.0003112979440705248,3,1596,2044.0,1660.0
1261,0.00025376106738500917,193,0.11868849035870582,0.34231931067390253,0.14356770096215182,0.0003912430429061618,3,1276,1916.0,1276.0
6054,0.0002543480353779159,581,0.1364084657858691,0.1272310846125993,0.16426391018237152,0.00035252665150746536,3,892,1916.0,1340.0
146,0.00025455552070828465,477,0.26645746873232545,0.1417475639893424,0.17277561553122397,0.0003751534626885055,3,1020,1788.0,1852.0
1642,0.00025501141062704845,248,0.13490037759777432,0.10546939221737461,0.35733524876610534,0.0002377702331577453,3,764,1916.0,1916.0
16,0.0002551647145689155,265,0.2604676600651309,0.11741392658598163,,0.0009915080138107669,2,700,1276.0,
1290,0.0002552307652270732,466,0.14073160024376158,0.14707087291971574,0.13873584585385973,0.0004603950215870999,3,956,1788.0,1916.0
834,0.00025523746638403584,251,0.18469545975053955,0.11407407420128836,0.1660178586416398,0.00024492225299839487,3,764,1788.0,1532.0
1311,0.0002554936155017155,619,0.13911422979646554,0.1098910633431648,0.1371954656210427,0.0003848423866978233,3,1020,1532.0,1980.0
480,0.0002560470127112543,582,0.25327504675597023,0.11452960455577509,0.16349442164297984,0.0003201730306121996,3,892,1916.0,1724.0
993,0.00025776301190489904,247,0.1780114318838919,0.20424391595961608,0.11350866022482253,0.00027154421412087075,3,892,1724.0,2044.0
83,0.000258084962842986,391,0.21097029848573298,0.1055458463627041,0.22399842233384912,0.0001811051516180255,3,1212,1852.0,1276.0
2671,0.0002581637667996498,503,0.17217118639804863,0.10309731064316785,0.172532372204059,0.0004645295485277261,3,892,1980.0,2044.0
208,0.00025852644127250337,367,0.21334993406683608,0.10049915518287056,0.1454023928256721,0.00034176376328025164,3,892,1532.0,1532.0
6696,0.0002585453888362584,391,0.1705813325818691,0.24733564787049156,0.15731233582235152,0.00026414209412194687,3,1660,1724.0,1852.0
1955,0.00025871210382319985,425,0.10027522140622384,0.3035194454708113,0.17799759614643282,0.00040213632661177114,3,956,2044.0,1980.0
588,0.00025883781466594277,486,0.16136578251477013,0.1293514904022206,0.12256793210022203,0.0003095234152152719,3,956,1724.0,1596.0
245,0.0002590050130190017,485,0.25285606806592037,0.13662530843124268,0.16514613510839712,0.0004317182633617069,3,1020,1788.0,1852.0
2081,0.0002591506791456292,247,0.10650133032699943,0.21383011540176564,0.14385770231712114,0.00021528045760250305,3,1084,1852.0,2108.0
2598,0.0002593748625561905,213,0.12272981630610923,0.10973288467237331,0.16000978105684405,0.0006642970289040814,3,956,380.0,2108.0
136,0.00025991710669283444,347,0.17917156365201445,0.13161719432167562,0.13753815952413806,0.0003156454564523843,3,956,1596.0,1660.0
1776,0.0002601164155445682,285,0.12232847023512954,0.16202936480396524,0.14286944398699766,0.0003555682889247356,3,1468,1276.0,1660.0
4099,0.00026033833710243927,454,0.14445426052206395,0.10668831586165661,0.187827637841158,0.00037551961924789406,3,1084,1852.0,1340.0
2991,0.0002604018324442829,349,0.17353797555013278,0.13087853167406693,0.15846816923458612,0.00028871604380927864,3,700,1916.0,1532.0
4426,0.00026072770512352385,425,0.17636918622183742,0.11605418929568982,0.16322996564402287,0.0001877487301270296,3,1148,1916.0,1532.0
81,0.0002624769913381897,393,0.2124328600083503,0.1311192325128355,0.16127412681208567,0.00018712000406670673,3,1212,1852.0,1788.0
6296,0.00026422558051611607,456,0.1599300590098401,0.1242451774004129,0.1661913006325748,0.000385288529975724,3,1212,1916.0,1980.0
319,0.00026449464300336935,357,0.18814876751733822,0.16346975268928654,0.16440351005037732,0.0003248090574947603,3,764,1788.0,1660.0
639,0.0002645397655821095,456,0.1414303065453943,0.16151690502539387,0.15298226583283733,0.0003306596676589801,3,828,1660.0,1404.0
5550,0.00026505678203344967,348,0.11922443193018696,0.15677636303572992,0.17297914051861443,0.0003152986698655451,3,828,1788.0,1916.0
2794,0.0002652584885557493,271,0.1096371899185068,0.12740327718061806,0.4397854657466753,0.00039955289246784074,3,1724,1852.0,1468.0
888,0.0002657177848353361,681,0.17619669268263272,0.12518732533761542,0.10811643116178625,0.000400339230936512,3,636,1916.0,1596.0
5164,0.0002667283513195192,378,0.1464597406945865,0.13953791252385203,0.15686414547946612,0.0003612057834071708,3,892,1852.0,1596.0
137,0.0002677306658976401,340,0.2211077461024313,0.10005998463872957,0.1765646986468052,0.0002988593850392112,3,892,1596.0,1596.0
2799,0.00027212733742392934,508,0.1050129866690179,0.10418289214732823,0.44585093589439206,0.00038517439941278617,3,700,1916.0,2108.0
73,0.00027741956825290496,354,0.24387384637192816,0.39270737944767414,0.15082581442922272,0.0005246227026641597,3,828,1916.0,1660.0
42,0.00028557548697184153,161,0.18623432248733174,0.2901192829759953,0.10107001044337106,0.0011590173626635884,3,892,1020.0,892.0
2,0.00029879763120940577,620,0.4994769984516433,0.23575459285779468,0.12669026385497886,0.000884943882453855,3,764,1020.0,316.0
12,0.00030176795213871324,452,0.16608598743100764,0.24234520734823267,,0.0013058699700113211,2,636,1532.0,
4,0.00032144033417959387,130,0.2683830402512742,,,0.0032891445603661033,1,2044,,
5,0.0005547007419712221,170,0.3933305111573505,,,0.019656165041709223,1,1148,,
1,0.0005690916703315451,427,0.1444022060214692,,,0.016026918880730608,1,828,,
3,40030.685872395836,152,0.152047549387911,0.25614464407015264,0.20053772950858315,0.024931122281213875,3,1468,508.0,2108.0
