number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
1259,0.000104385881544052,638,0.10533479012946884,0.11598957500880014,,8.543447742605783e-05,2,1888,1056.0,
1242,0.00010590320356034984,652,0.10485380771572313,0.1171702445056697,,7.764132926301143e-05,2,1888,992.0,
1169,0.00010775374175864272,631,0.10591168248132536,0.1187563686906119,,7.659154693428577e-05,2,1824,1120.0,
6277,0.00010830048437734755,593,0.18428744474290787,0.12041493007801687,0.30669266922397115,0.00012220091814711873,3,2016,1696.0,352.0
1171,0.00010834790421843839,642,0.11438040761578125,0.12118493787838908,,7.410645173892104e-05,2,1888,992.0,
4794,0.00010942301087197847,575,0.10244352801426922,0.11943081024001759,,6.849148397984653e-05,2,2016,1568.0,
2466,0.00010980025896666727,545,0.10929276314767561,0.1418147285660077,,8.149557003768015e-05,2,2016,1632.0,
3618,0.00011014440654738185,653,0.105026625751229,0.15502683796857308,,8.545689319694379e-05,2,1824,1696.0,
1429,0.00011023204642697237,634,0.10298856167088179,0.14041946950145093,,0.00011918332160649133,2,2080,1248.0,
5149,0.00011029383216130858,576,0.10293098945672313,0.10994434602699665,,0.00012910320088080278,2,2080,1760.0,
6278,0.00011051880816618602,594,0.1001018199046895,0.12297245084804492,,0.00010366898377733952,2,2016,1760.0,
1603,0.00011070311447838321,582,0.10004782703571365,0.14685536749587072,,0.00010825800833463767,2,1312,1056.0,
3275,0.00011071726573087896,546,0.10645059330022032,0.17016197908165082,,7.349304360745963e-05,2,1952,1184.0,
3690,0.00011084616053267383,575,0.10296624055027173,0.11964226450726542,,0.0001249299623067667,2,1760,1248.0,
3338,0.00011090362071020839,554,0.10516383133481502,0.12479572982613106,,0.00014552435809798,2,1760,1312.0,
3434,0.0001114455827822288,539,0.10683727549803469,0.13437476584012867,,8.724187918034791e-05,2,1952,1312.0,
1108,0.00011148913436045404,608,0.11485558287943651,0.1495435778558488,,9.883916661101561e-05,2,1760,1376.0,
1651,0.00011160678368469235,668,0.10934625064915734,0.1335638175123754,,0.0001051603280482117,2,1952,1376.0,
3183,0.00011175302788615226,577,0.10275841415441811,0.12594443118222026,,0.0001380953690066984,2,1824,1312.0,
4741,0.00011229542409031031,656,0.11816863791563452,0.12484159956408564,,0.0001971096096266819,2,1888,1056.0,
4789,0.00011242458422202616,571,0.10010819681480493,0.11653908614483689,,7.330301345580467e-05,2,2016,1632.0,
4822,0.0001124937235241911,660,0.10003094896662404,0.10838427782832531,,8.172669259623129e-05,2,2016,992.0,
1264,0.00011283742387604434,641,0.10010162853005007,0.1514869723488115,,9.447118854031567e-05,2,1888,992.0,
2539,0.00011304083745926619,602,0.10008805842721089,0.11627106483237229,,0.00010919853637410359,2,1888,1184.0,
1472,0.00011324152437737211,619,0.10561271559227363,0.1261762496104204,,0.0001051578425145666,2,1952,1760.0,
4645,0.0001136548860813491,577,0.100047606202824,0.11917760602299678,,0.0001014110017490841,2,1952,1632.0,
3000,0.0001137165129572774,580,0.10295887897619027,0.14413590881130134,,0.00011846736246870794,2,1824,1376.0,
1655,0.00011426388809923082,626,0.12410916360744723,0.16078323846738415,,0.00011654873598327248,2,1952,1312.0,
4410,0.00011499042302602902,641,0.10783203108869802,0.2241054881307405,,0.0001195574394253788,2,1632,1760.0,
6259,0.00011503792654063242,592,0.10003648101196581,0.1002867822591817,,0.00011797585681876441,2,2080,1760.0,
988,0.00011532688004081137,412,0.11823910858833642,0.15309997883197474,,9.672102308237676e-05,2,1504,1376.0,
5666,0.00011543249129317701,657,0.11290199637800624,0.11158660904100026,,0.0001193643390136346,2,2080,1120.0,
1557,0.00011572301033690262,630,0.10367761807286931,0.16045773805491167,,7.996564197411072e-05,2,1504,1312.0,
1053,0.00011573942004664181,420,0.1125931706120433,0.15166651052554364,,0.00010797983879566718,2,1568,1312.0,
3222,0.00011585925434095164,552,0.10278235399862495,0.125600787030194,,0.00014804876264505536,2,1888,1376.0,
885,0.00011595548397356955,646,0.1077401918532199,0.20878575158676752,,0.000158492093638426,2,1824,672.0,
4495,0.00011609252712029653,625,0.11232042563402807,0.12371622504426523,,9.596356547836468e-05,2,1952,1376.0,
1667,0.00011614638666893977,566,0.10274854414565357,0.11184442866816072,,0.00014680206951709563,2,1312,1056.0,
4805,0.0001163187414931599,583,0.14534646425085215,0.10857987941975678,,8.301925151458653e-05,2,1568,1632.0,
1428,0.00011668642449270313,435,0.10255384134196124,0.1404078795129681,,0.0001595880395182303,2,1824,1440.0,
