number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
7839,0.25894727609971396,190,0.11156907857228188,0.1388905980735335,0.13876904994376033,0.0006479849119822748,3,352,1056.0,1376.0
460,0.25957962053067074,186,0.15846771084685582,0.1305685667377696,0.3705260149900855,0.0005183922605169831,3,352,1184.0,1184.0
5127,0.26087485988864306,198,0.12499777250976822,0.13519460579929193,0.31472452906872844,0.0007113916908125619,3,352,800.0,1056.0
444,0.2625484533655075,276,0.10592864127542642,0.10489784540822383,0.38294850504612254,0.0004361408556618341,3,352,736.0,1248.0
1169,0.2626216336866869,277,0.17527446475488684,0.11604814167008214,0.2227425517881078,0.0005052069194801831,3,672,864.0,1312.0
1978,0.2630818494325518,224,0.14454713862231305,0.10504478945987711,0.3197638600406814,0.0004524978881163968,3,352,1184.0,1184.0
246,0.26350796808751487,261,0.1967215629861979,0.1960473703415765,0.3654043177792335,0.00032716042777834297,3,544,800.0,1312.0
8279,0.2643484040079411,206,0.17581941106809157,0.15071890248528141,0.15430886780455547,0.0004356323985350246,3,352,1056.0,1440.0
4590,0.26601304330831527,235,0.2072136673284714,0.1315519577803184,0.20462939511084222,0.00040499453331345887,3,352,864.0,1120.0
3018,0.26642880631465277,278,0.11108482612593523,0.10788616558453959,0.15107547854483852,0.00034813522453874894,3,352,928.0,1184.0
6434,0.26654613494678725,215,0.19212759097116627,0.33420610287438257,0.10329659476224076,0.0004369664966539202,3,416,864.0,1248.0
10083,0.26662858986509363,252,0.10708141201073472,0.1275226928701265,0.21228583245587004,0.0004062584651823537,3,352,800.0,1120.0
6807,0.26810392840806485,320,0.15883109886425303,0.10639133026055322,0.12193678883933028,0.0004308998139755241,3,352,800.0,1376.0
6698,0.26831488842647894,305,0.14184604791880556,0.1020907578610727,0.26597917139541083,0.0006445595448728817,3,352,672.0,1120.0
560,0.26863684035960195,185,0.18459099701529805,0.25270300478520225,0.2823026677429391,0.0003594334285103432,3,416,672.0,1184.0
42,0.26889473733436825,257,0.17440642515260885,0.4027788785384291,0.37201709961433077,0.0003370373119954696,3,480,992.0,992.0
7110,0.2691403031698456,166,0.10702409819767274,0.1303787543936495,0.12131052691379735,0.0004841852625960965,3,352,928.0,1056.0
11740,0.26916326728889745,185,0.10848872066068126,0.10425086666892172,0.3311370491833186,0.00048221751753218373,3,352,864.0,1312.0
4250,0.2696829182045665,185,0.1473529577988045,0.17271621859403644,0.32280947637803487,0.00045375090357069504,3,352,800.0,1120.0
4914,0.2705741331318005,216,0.12327841365980982,0.13532468114668184,0.31532067233483907,0.0006047337490111093,3,352,928.0,1056.0
872,0.2711087112056056,184,0.1118774783013956,0.10927366094856598,0.28916576158388596,0.0002865453806162527,3,352,800.0,928.0
6318,0.2712908966033761,274,0.13984415708542644,0.1001017392131995,0.2756880353998906,0.0005296401625063848,3,352,736.0,1120.0
6814,0.2719767589305731,301,0.1308675663785655,0.10477403182832688,0.12151086072380285,0.00045115128589686055,3,352,800.0,1120.0
6558,0.2720654525011469,209,0.14948506407666867,0.10277100046672957,0.10277883652725206,0.00048400012969225455,3,352,864.0,1248.0
