number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
270,0.3807665775784621,673,0.14973526852127864,0.2430424460715556,,0.000533319323314655,2,1312,1760.0,
6155,0.38443761008560084,587,0.12639601496062441,0.2647356885415977,,0.0004552531267140781,2,1376,1504.0,
1657,0.38620469810256575,582,0.15124269668096185,0.19215466859888045,,0.00033451165309642645,2,1312,1824.0,
100,0.3865056408682254,664,0.3878948598939432,0.11895642378978083,,0.00027999059117006205,2,1440,1504.0,
299,0.387913075758039,657,0.23136959701535764,0.12854276224991354,,0.000443406399250135,2,992,1824.0,
228,0.3884337003786661,569,0.22005315077046547,0.2412091290772241,,0.0005691159700904848,2,1440,1760.0,
281,0.38896209474525245,376,0.1454911141552425,0.12598782705826805,,0.0009392519671363254,2,1376,1760.0,
65,0.389625334360956,479,0.4487841317025011,0.11657582627893939,,0.0004367644237239112,2,1120,1440.0,
7362,0.3902451818933049,407,0.1918977506911317,0.10002803348670135,,0.0002951856587375741,2,1504,1760.0,
80,0.3905517380650307,455,0.4952375583930413,0.11696022298793673,,0.00033804574583413683,2,1312,1184.0,
3887,0.3907916701104525,655,0.15336474691022817,0.12368636608093815,,0.00041745065751312244,2,1440,1184.0,
564,0.3908193531840694,647,0.14824462275700626,0.11566944781658417,,0.000738832241245979,2,1504,1888.0,
4459,0.39083805494332075,491,0.21420511325546776,0.10264973754051648,,0.0006928950736656776,2,1376,1760.0,
831,0.3908853489084632,649,0.195075041485623,0.21248211586493151,,0.00057420645040261,2,1312,672.0,
642,0.39107618895095253,612,0.18121767024717278,0.16540694605549527,,0.0003496671507806124,2,1376,1696.0,
26,0.3918700166233096,417,0.49957116929385526,0.26878374193559745,,0.0005877968822920304,2,608,2144.0,
9439,0.3921595969933026,691,0.13645882897445358,0.12692517950685567,,0.0006110927865090129,2,1376,1824.0,
10119,0.3935941358980849,592,0.1530150457497234,0.20232395119926777,,0.0006063943972312741,2,1376,2016.0,
503,0.39557466950131337,680,0.1511854022188841,0.24081961961425452,,0.0005685120934327033,2,1440,1696.0,
92,0.39601420393797865,472,0.4533614871742751,0.1185318727521928,,0.0006971880686600393,2,1312,1184.0,
752,0.39620581473368677,512,0.15585048562374362,0.20062733196244567,,0.0005122651975607623,2,1824,2144.0,
5074,0.39622194861240234,648,0.25644107969894764,0.20326291853991824,,0.0006678692988611741,2,1248,1952.0,
242,0.39711255152182273,657,0.12575004346380292,0.37428023734771204,,0.0006314707037704853,2,1504,2144.0,
2107,0.39776530869304133,391,0.22788666027464463,0.1264222866746397,,0.0007085444990629213,2,1568,1824.0,
308,0.3982106257974212,543,0.19984239580596516,0.24872552305322607,,0.00046632820278334693,2,1376,1888.0,
472,0.3982540233159226,639,0.18975578469940235,0.22482132785103068,,0.0005654596520719801,2,2016,1952.0,
1332,0.39843286187057486,671,0.14300649866479465,0.33632749653019434,,0.00046475933137883564,2,1248,1888.0,
239,0.39883811127006696,597,0.15599071814474894,0.23227206109670942,,0.00038922639080383195,2,1248,1376.0,
2067,0.39927311448641006,618,0.28266464674991276,0.11727469859147427,,0.000504540356958069,2,1120,1568.0,
1896,0.3993956928278442,612,0.20065053858797488,0.38385381815390823,,0.0004110655855077313,2,1440,1824.0,
96,0.3996464798111861,398,0.40069383733929087,0.33845180436396544,,0.0004143111826408967,2,1120,2144.0,
272,0.40098391029198865,560,0.15404950106328752,0.2344713582391257,,0.00029652687849513604,2,1312,1952.0,
306,0.4011908639359358,664,0.2815013324092033,0.10975023219167282,,0.00042952624238265134,2,1376,1824.0,
29,0.40146863251908144,691,0.4150312471713968,0.2989855648553203,,0.0003671890029753876,2,608,2144.0,
1015,0.40158327535824323,214,0.23779467758639236,0.1682521268876753,,0.00041570001500733876,2,1440,1760.0,
3208,0.40184016122863864,633,0.16580327612507575,0.14269018641434908,,0.0005206444398049664,2,1376,2016.0,
4178,0.4020813562913234,505,0.14901399111409108,0.24041120991185744,,0.0005782451981181731,2,1056,1824.0,
1519,0.40220151411088617,451,0.14127899996557688,0.16098424890486593,,0.0005947999455837923,2,1888,2016.0,
10198,0.4024256216432389,674,0.17093175219722065,0.12472599311606,,0.0006603067095383365,2,1184,1696.0,
7,0.4026368934232192,479,0.4325195742875121,0.11850054732215334,,0.0005646691459088036,2,1056,1504.0,
244,0.40332417523461755,643,0.15688915385460878,0.23132691701858846,,0.0007087330277540636,2,1440,1824.0,
1521,0.40352890369921324,448,0.14167017154705655,0.22608468401392912,,0.00042139487643671797,2,1120,2016.0,
4989,0.40365180376239246,665,0.16694514042644398,0.2480903848172105,,0.0007458315635726532,2,1888,1888.0,
888,0.4039932225943408,406,0.15345719288908358,0.17702261244959264,,0.0005035391035977628,2,1440,1824.0,
222,0.4040592020232093,638,0.4394907179642682,0.37498186766983244,,0.0005603844000833676,2,1440,2144.0,
650,0.40407927731230414,593,0.14090231252062552,0.15444486063748983,,0.000773112536508346,2,1952,1696.0,
196,0.40452383100835404,630,0.3655292072903747,0.24339447005293827,,0.00048690584795242024,2,1440,2144.0,
7420,0.405534635790976,683,0.19226762440231948,0.13348839364431297,,0.0008471898079938336,2,1248,1760.0,
414,0.4059150201803642,654,0.3389807065831808,0.25674440586822284,,0.0007895119836914467,2,1312,2016.0,
473,0.40602498318351,632,0.18877441394645203,0.11891343232554176,,0.0005831188612281572,2,1440,1824.0,
266,0.40623723010242935,395,0.1758356706481929,0.2420622322522465,,0.00033450933422238656,2,1248,1824.0,
3171,0.4066244082881565,544,0.1597492984569036,0.22357277913011378,,0.0005159397116807327,2,1504,1888.0,
277,0.4067696179738643,675,0.22832384335959277,0.22451601964084397,,0.0005009511991018683,2,1312,2144.0,
8911,0.4070510484632983,655,0.12280095040775382,0.193195785207962,,0.0004123929113584974,2,1376,2016.0,
208,0.4071620843234825,560,0.43902522249270143,0.3078779743520255,,0.00038586665759499355,2,1120,1760.0,
2979,0.40724979592172195,488,0.1914132829783783,0.25538453771464364,,0.0005537289919029666,2,1312,1568.0,
3025,0.40743696430918136,532,0.18059373305733975,0.10844486060231408,,0.0004319633252983646,2,1312,1248.0,
785,0.4075352118780204,408,0.14919430640632403,0.22558682311135675,,0.0004995836223373341,2,2144,1824.0,
10193,0.4075529761953826,668,0.24740097028866406,0.18877274055966792,,0.0007753092171215663,2,1312,1696.0,
1149,0.40764145200292795,689,0.13666953765524628,0.13212643014264286,,0.000852768349347234,2,1376,1760.0,
5299,0.40780967174191035,676,0.24809723367237982,0.27868351596238455,,0.0008156058109317568,2,1440,1696.0,
88,0.40782824156805536,567,0.35735055275442096,0.33170829525006335,,0.0003967794542043313,2,1056,2080.0,
3420,0.40812264655688896,623,0.16771713533120283,0.11333989731825689,,0.0005465958567579862,2,1440,1824.0,
