number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
1083,0.239881783264441,532,0.10157408635267694,0.1607856699584957,,0.0001810885174631745,2,992,1568.0,
208,0.2404809796871596,479,0.23807704083388812,0.17084031043227435,,0.0003238594965274616,2,1056,2144.0,
195,0.2421902007946752,540,0.26666789632851834,0.17735647947158872,,0.00018585050042614927,2,992,1568.0,
7884,0.24247116450529102,529,0.16088940773018892,0.1842798469791273,,0.00021321768811949062,2,736,1824.0,
71,0.24271023746387882,419,0.3225853371446257,0.2407014534839157,,0.0003315616857997925,2,1184,992.0,
66,0.2429609865726006,546,0.2149404211533475,0.18492733023001104,,0.00027979003011914034,2,928,928.0,
97,0.2445813505480934,389,0.27310643324211376,0.22394891453422497,,0.00023646498814100625,2,992,1888.0,
172,0.24627550040132284,484,0.24523939776836637,0.19022584426906414,,0.0002502580137338789,2,1056,2080.0,
4556,0.24829926342751873,529,0.17444291534063186,0.1479141469508949,,0.0001771669159275128,2,1056,1888.0,
21,0.24855388546043353,530,0.22628893300136135,0.159604103835746,,0.00017824828082882706,2,992,1952.0,
3193,0.24893519692078775,533,0.13022855041348128,0.15042817143071777,,0.0001873170074046316,2,1120,1824.0,
2319,0.24896142510370603,549,0.3041251039723762,0.19575537527777784,,0.00023632485097771779,2,1248,1824.0,
749,0.249054645545077,523,0.1319304319964138,0.18310310614655412,,0.00014178756165158775,2,864,2144.0,
148,0.24954625205944028,549,0.2949192561902862,0.13550684547163822,,0.00014216999315500828,2,928,1248.0,
109,0.24964213609988595,505,0.24604771803751455,0.1881326301547348,,0.00018412276115979724,2,864,1760.0,
25,0.2501453994522173,542,0.29904846255610973,0.2295258085658248,,0.00013887128767383548,2,992,1696.0,
10083,0.25031273563545425,519,0.12559960029287687,0.33626564446440466,,0.0001603439882000483,2,736,1760.0,
3855,0.2504507526138534,515,0.11310042649868673,0.11617754138861393,,0.00020776251138344433,2,1248,1760.0,
439,0.2507046357100279,543,0.19555816702248657,0.1345027955364235,,0.0001657113195883799,2,800,2016.0,
2392,0.25074948140593667,524,0.10019569246160837,0.3760787942169826,,0.0001920115491405288,2,1312,992.0,
2780,0.2518545677117403,530,0.18395422276305454,0.1318849375137759,,0.000191077048970155,2,928,1888.0,
81,0.25238621603627676,505,0.2877844058096098,0.17936843054296714,,0.0004959898219214991,2,736,1888.0,
7929,0.2526338354035249,544,0.13331675142667387,0.3241255942449,,0.0001554356765488287,2,1312,2080.0,
2994,0.2527957306040561,531,0.13861319575355982,0.118049610316444,,0.0002251540947083002,2,992,1696.0,
7054,0.25283094543399154,532,0.1188115895539411,0.1251405651082374,,0.0002814158282678053,2,1376,1696.0,
1009,0.25345954205164206,349,0.1260806363663565,0.1822538680679012,,0.00020762857070090056,2,928,1696.0,
1211,0.2537985499648359,509,0.1658845781905525,0.1902308290734652,,0.00011466944990877396,2,1312,1568.0,
1361,0.25379881168461976,397,0.11062486155034267,0.16496241268604478,,0.00023556891144801897,2,672,1760.0,
154,0.25384286104143233,548,0.2010926923280245,0.16709599089761215,,0.00017476939558859437,2,1184,1056.0,
3666,0.25396595420353757,553,0.13679939838733582,0.15001129298002774,,0.00025058492016192033,2,1120,1824.0,
750,0.2540917292201145,518,0.12887229324243885,0.18273146338841764,,0.0001427045568017876,2,1248,1632.0,
