number,value,params_EPOCHS,params_dropout_l1,params_n_units_l1
66,0.39650513476527927,380,0.14450904026923914,1376
7514,0.3979719138863183,316,0.12866092575942084,1376
4391,0.39828687946431407,436,0.12872762307731817,1376
18,0.40082114758275567,379,0.380537978554148,1312
2412,0.4050963476099076,346,0.11833094282669991,1120
1207,0.4052632078777488,539,0.14651655077197026,1504
4,0.43031321792622695,434,0.3484510243839764,480
0,0.4394439564266577,686,0.20140709366480336,672
5884,0.4463391229847403,438,0.169742442180881,1312
1486,0.4546021548406649,567,0.11581445878183187,1312
227,0.4570422293313085,422,0.14378444542593088,1312
8895,0.4711925835924406,321,0.13874543936602518,1568
68,0.4722774054399987,440,0.13113550167183743,1376
3,0.47715655370824717,579,0.291391209491115,1120
344,0.49715056027747895,600,0.26056190978867927,1376
306,0.5021393157691212,594,0.1445512518219134,1120
473,0.5182245543516226,350,0.19473877716661625,1376
1955,0.5318255429156734,435,0.13697366758933435,992
1,0.538244701403791,299,0.20291684179528996,1056
8471,0.5482082169427489,566,0.12699010024125865,1440
63,0.5606188285841711,381,0.152685216139461,1376
1154,0.6096843269310409,291,0.1376582203279136,1504
2,0.6163808153536995,582,0.3632845752391867,672
