number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_n_units_l0,params_n_units_l1
2335,0.3243354277881304,404,0.21456507125158863,0.14488590331229045,1568,1312
6629,0.3312474995881402,364,0.15492376456097312,0.1297100074178544,1568,1312
1727,0.3412994387268005,334,0.23975424466007214,0.3307909751037298,1504,1312
215,0.3466406933318448,356,0.32221347438550896,0.143529808803155,1056,992
1907,0.3500503552314931,393,0.11247175619369369,0.20988982045792737,1568,1376
6157,0.3505311714958333,432,0.10346717426269135,0.28044111245334064,1568,1504
5553,0.3509094193927009,353,0.10739067749019832,0.24151106633692443,1504,1440
3644,0.35491882924655294,327,0.13198163262524057,0.28778117136695813,1376,1312
512,0.3575651771358316,479,0.28612834056009046,0.13435797710223948,928,800
4694,0.3583999394885369,402,0.168582427581478,0.44534820953899185,1568,1312
1183,0.3588094744756661,381,0.10973009729552485,0.11230988034699557,1568,1312
84,0.35901867412835026,536,0.20988158948772576,0.21247019613335344,1184,864
0,0.36034196651712286,249,0.3003965457141669,0.22800004778906707,672,608
579,0.36132368341864934,497,0.13099721210077978,0.14445240116946376,992,928
316,0.36239658913075024,421,0.17299293521485182,0.14263582246549095,1440,1248
1,0.36282715635716156,587,0.32683803245715304,0.2100882459341487,992,480
8785,0.3628447870727566,360,0.10280137497614268,0.11035195093317167,1632,1376
4327,0.3636766351238438,571,0.1122981310505775,0.1447895014411291,992,928
5430,0.3682676466940659,423,0.14412622752709178,0.2732469338481709,1568,1504
3,0.37562124503795596,453,0.3030181123991387,0.12162687980331309,736,544
1972,0.37739616172286444,412,0.2909696961789729,0.20590953417937433,1632,1376
3153,0.37837628937467177,414,0.12620938131857473,0.14165200573185333,1568,1376
7,0.38001461060264335,354,0.17516194356354897,0.1028027422007571,736,352
4165,0.38034286104831994,415,0.19149932459755709,0.14643219441539612,1568,1312
5561,0.381029728553305,388,0.10407661255656611,0.25988970747576773,1376,1312
615,0.38164781252108926,581,0.15247893004147092,0.3932426220515214,1312,1248
9180,0.3824300178366967,366,0.10544916376800509,0.3763293342220753,1632,1376
2622,0.3853760550555809,327,0.10291089699308144,0.1321251500857429,1568,1376
1912,0.3896094496125281,378,0.12315264620472317,0.2029226370916189,1568,1504
9613,0.3908543978130267,487,0.22815341757852228,0.358032018905685,1120,800
5,0.39438522467639275,354,0.11381343724125571,0.1428538266494607,672,672
65,0.39504265945798006,354,0.2488084796020643,0.12171254375148442,1568,1312
5208,0.39748903648521433,232,0.23570731132821332,0.2198170520784236,1632,1248
2,0.39767174157501695,252,0.4725714211215566,0.36210666632423144,736,672
243,0.39962663806571275,359,0.28973513320137123,0.14063379056539047,1568,1248
62,0.40365504237656147,479,0.2056721259837907,0.10894387825948257,1440,1120
1910,0.4045919043455285,398,0.11793350264992086,0.2093795534685643,1568,1440
2792,0.4055928798848833,378,0.10422631298081052,0.20349161695891288,1568,1312
1590,0.40852648105148814,330,0.2009963628747312,0.14683344746541177,992,928
1190,0.4236553460260105,360,0.10823634264393588,0.1189058530973426,1568,1312
9807,0.4283500519693548,356,0.1213495947436147,0.20527141237491445,1568,1504
9675,0.4283871547656697,427,0.10014789472800308,0.1425592143475562,1504,1312
341,0.4384187849729242,460,0.14274680607889206,0.14548461065054616,1568,1376
4,0.46078660994178755,551,0.19733147748950577,0.36296382877773664,1120,1056
