number,value,params_EPOCHS,params_lr
18,0.750391644464344,519,0.0018283455620291566
3807,0.7518983397073397,368,0.006088503127009512
451,0.7577361570647413,273,0.0031143281087035613
7842,0.7691354719643028,78,0.004772360269048213
7,0.7703684107965917,372,3.454222369924298e-05
157,0.7708505415254384,242,0.00507167984698712
8626,0.7718180973412463,149,0.0040316689677846055
70,0.7733715445458034,430,0.003414424672934856
1538,0.7778576220859816,132,0.004270748626641451
4636,0.7798254856896427,118,0.0058137182159271215
1093,0.7847707112328192,134,0.00452115321219565
353,0.7860023610567166,442,0.004613419755471005
160,0.7876865634656484,451,0.004869946385524139
6006,0.7886057469942366,376,0.005111572018222643
48,0.7892210297902306,419,0.0017219709245287216
53,0.791440709745346,177,0.003847099425587698
42,0.7938729001912928,240,0.00654364480918302
20,0.7944169393356316,322,0.0010202502069806378
7726,0.7946788489446276,364,0.0045864902365502745
192,0.7948009499027817,397,0.004335385226675334
5046,0.7948053424249196,279,0.007306741042504709
7053,0.7948549792724265,375,0.00441044303682262
33,0.7958410496393558,361,0.0019399754937708608
1364,0.7961587131987623,352,0.00419053353886048
83,0.7964801613101112,320,0.00396454854910058
15,0.7971865709879196,397,0.0011573259869811425
4136,0.7975919617609343,376,0.003751667177382178
1859,0.7986649732919135,113,0.005488910279527436
98,0.8012137914786595,311,0.006764291966328646
64,0.8028305945974945,135,0.002900071000404877
2444,0.8032271736557427,109,0.006984967048599357
7149,0.803762787250512,352,0.00507787601160291
4107,0.8049835924817941,83,0.006554121704853647
2584,0.8064436605750396,333,0.004276762628310905
2375,0.806604134361032,330,0.004813538880792367
11,0.8078506651201883,163,0.0011027134896063149
2260,0.8083576067640229,134,0.005026991870980902
1820,0.8088311210741583,116,0.004973370066885988
7065,0.8098683180320772,252,0.00495704861756097
63,0.8117345582982401,141,0.003172432169000515
0,0.8151702308955406,693,0.0012290312797236275
234,0.8180354940601103,212,0.005696693794658336
187,0.8181566992732853,248,0.005521420470893681
6913,0.8181978445461732,364,0.007312389149734625
38,0.8199271357210125,238,0.008378524256379563
142,0.821532722938061,184,0.0028648192367005457
5370,0.8216096906825839,428,0.007905046682482332
4512,0.8220230315300274,468,0.0047400884887870845
7146,0.8263306509068291,203,0.005169822674011067
929,0.8263623167671287,402,0.004365625489399614
60,0.8266741327957048,292,0.003306851660476716
147,0.8274800185773532,242,0.004844039020961541
5682,0.8285766888442406,335,0.0049941872909649975
281,0.8295296629025355,155,0.005865779868252084
2745,0.8297872207721354,266,0.006658641089193493
189,0.8304755222930702,392,0.0035618785713380455
1851,0.8309939456339446,91,0.004408838057409211
141,0.8312211523717,372,0.0036796871670978833
62,0.8336664937953773,329,0.002605914517383645
713,0.8339382173084448,142,0.003483397456046141
412,0.8350507938771902,182,0.0043506295263646905
271,0.83520974324035,249,0.007823278217309364
6936,0.838206161001253,413,0.008644525805073619
11744,0.8385861108573638,370,0.0050156730174930565
2771,0.8394209615374914,464,0.005283947584882527
1633,0.8394751437449537,433,0.0054507776141648505
3010,0.8402600997651579,463,0.0053237535254451185
433,0.8413638341825276,213,0.003038794700644968
143,0.8419972145037671,187,0.0029910172587667497
76,0.8424530072363521,349,0.0019244140757568192
8,0.8424894585440281,650,0.0032388909710071054
530,0.8440032449762849,566,0.0053620860613247286
696,0.8445236441390612,371,0.003634944567066719
385,0.8484587093429488,149,0.0038362722323581457
267,0.8512545906856199,271,0.0033660233241251817
197,0.8516841315891627,359,0.00571846075762444
