number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
6526,0.2934172854367642,513,0.12879461317685423,0.10946835089713013,0.15092262869687442,0.000624428650784565,3,608,992.0,1632.0
3036,0.30875256895390185,381,0.1435830204906975,0.24704709813651207,0.2968465403274522,0.0005565341384413734,3,1120,1056.0,1696.0
12535,0.3144456971259789,438,0.13513273617234536,0.10505260996366475,0.13390393286086585,0.0006882404776774197,3,480,544.0,1632.0
254,0.31810847932805597,673,0.10663885944356605,0.12408678578490122,0.46598217917330875,0.00035485909548022037,3,1184,1888.0,1632.0
7674,0.3184015087496125,433,0.2431404354527217,0.11271167679564945,0.18274264476805682,0.00038788816127390625,3,1120,608.0,2016.0
977,0.3208511765342418,322,0.16159200677759356,0.32250371137661754,0.3256391536798528,0.0005937496211732811,3,1312,2080.0,1824.0
961,0.3237228872228012,455,0.1615966778247263,0.1424295060903107,0.17030361098533447,0.0009456383927526143,3,480,608.0,1952.0
3538,0.324063762731719,439,0.13884169578770883,0.23663692535027664,0.3305041401525799,0.0003221625824579192,3,544,1888.0,1760.0
2075,0.325035551547316,608,0.33196000731457637,0.1982433706656256,0.2152899547630292,0.00044880440023886253,3,1312,1888.0,1632.0
214,0.32894831350401177,480,0.10001912804588566,0.14365663675402413,0.49906800390391504,0.0004046669082493951,3,1248,1824.0,1952.0
0,0.32946783338251945,265,0.10501407722229879,0.2515578468432655,0.14765199588983813,0.0002907602021471441,3,1696,672.0,1056.0
9,0.332781557232555,612,0.45910299235825747,0.31744961986387016,,0.00017548166063697328,2,352,1888.0,
20783,0.33515462299175314,447,0.1898690991463372,0.15383029870818868,0.262331958456823,0.00037694348688942437,3,1376,608.0,1888.0
10109,0.3355479395544427,433,0.13233263181126542,0.1046907318706328,0.13358514326682328,0.0006732226945691383,3,480,544.0,1632.0
35,0.3367577613611947,406,0.30878269664871166,0.33623962338592894,0.15865167457696777,0.0004992566059448211,3,1120,352.0,352.0
5242,0.3371021146332502,462,0.15447507286591627,0.18434932067975277,0.15333722848815087,0.0006507831736513606,3,608,1056.0,1376.0
222,0.33914599982006755,476,0.11889695535500394,0.2453907878745211,0.15262572121204204,0.0008292934406772967,3,416,608.0,1952.0
5887,0.3404218572755235,472,0.13451039150567354,0.24223741589858042,0.18712320423066747,0.0009415402717487166,3,544,544.0,2016.0
16947,0.34131338765837155,395,0.10476485167146302,0.19760747713154617,0.24939883042457137,0.0007923453636083769,3,416,928.0,1440.0
16417,0.34373692903493064,400,0.1506293775917226,0.13413069183789594,0.11845687470079429,0.0006618665179122849,3,544,1056.0,1376.0
3087,0.3446241434327587,301,0.14163226860256609,0.303338279484439,0.271216093323232,0.0005163088182955161,3,1504,928.0,1376.0
20425,0.3478562308380115,396,0.11117503917196338,0.12432814628467946,0.4686792967879324,0.00036244102958917564,3,480,1568.0,1312.0
51,0.3527446060606821,183,0.20295533694843867,0.17852944375327426,0.47719658609113075,0.00045899284148860804,3,1184,992.0,1696.0
3904,0.3530982613110179,395,0.1663326242502538,0.13741390525993086,0.14829862294748936,0.0005796519064943822,3,352,1440.0,1888.0
9936,0.3538807663254685,164,0.19177240549679503,0.20652000259217532,0.13467177177985334,0.0006940265162879961,3,1120,672.0,1632.0
20940,0.35584508616020416,518,0.15101754902435538,0.2658075680108194,0.31144768614372886,0.0008117903595132089,3,544,928.0,1760.0
15990,0.3567957175532205,382,0.15372153568318295,0.21073035405784238,0.24389134908474988,0.0006222189507858007,3,416,992.0,1312.0
19740,0.3577757445404179,446,0.13612561834495407,0.13240245022094516,0.18909732936275334,0.00031195124171766437,3,480,2144.0,1312.0
12053,0.35993411093871785,382,0.10780829900294503,0.10733462753035608,0.3806839404912187,0.0005760113709693649,3,1312,2016.0,1888.0
6172,0.3614537094244285,388,0.20466263300528187,0.23637378579148408,0.1453784286070626,0.0007558066362552202,3,352,672.0,1824.0
13846,0.36189304463975164,402,0.24524100114099742,0.16101958695751958,0.10026423537448753,0.00036793997352595713,3,1184,928.0,1952.0
15808,0.36348628374741226,489,0.13556710592396634,0.3322404452712491,0.17077612669865527,0.0005074248448640747,3,608,1056.0,2016.0
1958,0.36412237916546947,259,0.14600393661882285,0.11221466465754026,0.1274397661204578,0.00031552836593179916,3,864,1376.0,1568.0
16510,0.3648336714592117,446,0.10562323115645872,0.33045789608416876,0.17875054954698438,0.0011039888883264584,3,608,352.0,1952.0
15588,0.3659758296597341,433,0.17378839173907287,0.15098595268289308,0.14129821845566834,0.0004681121738417363,3,352,608.0,1504.0
20694,0.36646103441890715,388,0.14711839105726351,0.12774733405863223,0.1539753926686393,0.0006297837663460706,3,416,864.0,1568.0
6981,0.37219968997107,206,0.2245833476855113,0.24677327015773848,0.3340049902494845,0.0002821774392287035,3,1120,2016.0,1952.0
2448,0.3745614817581015,169,0.14889331032056966,0.2542115567439629,0.4999876100532676,0.0005860881904290545,3,1120,1248.0,1696.0
3501,0.3746014149875933,518,0.1187932364982586,0.12119915639604364,0.10685942562587042,0.0004142986188370302,3,1184,544.0,1888.0
5080,0.37482576086238056,498,0.12409902702767588,0.10876305685680739,0.15247808427102597,0.00045634068164609505,3,1312,1632.0,1952.0
5047,0.37752105608420133,499,0.11972979505789977,0.31128001923867726,0.1009695146705445,0.00037999280682333753,3,1184,544.0,1952.0
