number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_freeze,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
46,0.22654981809160543,620,0.18788982156443865,0.17451711339240805,0.13872070436198242,freeze,6.855250358105331e-05,3,2016,1312.0,928.0
13323,0.23388415662374065,349,0.16681992452118274,0.10290726634865398,0.15309003696948628,no freeze,0.00021522037730250604,3,416,2080.0,992.0
4318,0.23922775466845528,160,0.19103896339100646,0.18513408304982118,0.2054436200517912,no freeze,0.0003721025158927331,3,352,1312.0,1248.0
53,0.24100435440674572,381,0.17927244007825555,0.10167869408497354,0.21102732185434867,freeze,6.541192429705015e-05,3,416,800.0,1312.0
10792,0.24161062451878562,388,0.20368976064413383,0.10290219430522086,0.23788656572455188,no freeze,0.00021638226517417514,3,352,1952.0,1824.0
5056,0.2427305368430176,427,0.17890790472259618,0.10732785348528516,0.21723664244305724,no freeze,0.00016549343493076773,3,352,2016.0,864.0
204,0.24289925021320785,459,0.1765643659130841,0.10661708914418318,0.15441376918986133,no freeze,0.00010928638697520971,3,352,2080.0,864.0
162,0.24349273235647362,401,0.1662501414495713,0.11086678167320259,0.1454044563234923,no freeze,0.0001118696440685876,3,672,2080.0,928.0
253,0.243805932537337,294,0.1964853516289033,0.11600834643666644,0.21767971649211518,no freeze,8.464687141584137e-05,3,416,2080.0,1824.0
5602,0.2444540714063904,417,0.10787020431013715,0.10283440849371547,0.14454729461720517,no freeze,0.00014436366210962158,3,800,2080.0,1120.0
1465,0.24468741752555684,403,0.12921973898797548,0.11821115383413011,0.30847283513825796,no freeze,0.0001343702434119658,3,608,2080.0,1120.0
1307,0.2448360335383539,482,0.1341846336371772,0.18652411416258813,0.10014668832816695,no freeze,0.00012890833379260722,3,352,2144.0,864.0
245,0.24523153785891466,451,0.10247319799405626,0.10300821461782263,0.14442744707138977,no freeze,9.524945983148258e-05,3,352,2144.0,1184.0
41,0.24621911463649432,423,0.19536028158986926,0.10026998372802325,0.2573016159575079,no freeze,7.448453514190303e-05,3,352,2144.0,992.0
1430,0.24682731576648048,405,0.1748609926920883,0.10862531893660839,0.12737261143261125,no freeze,0.00015791410164497268,3,352,2080.0,1376.0
372,0.24701990913493824,388,0.25732442248185683,0.10568842672711792,0.19669821275953736,no freeze,0.0001431267069179782,3,352,2144.0,1504.0
44,0.2472527811964624,622,0.22887586006393443,0.10142825142399207,0.13531025050561976,freeze,6.587876296481988e-05,3,1632,1568.0,864.0
5,0.24731869819694458,686,0.10160719515862648,0.10198928901734236,,freeze,2.250998135498572e-05,2,800,1376.0,
202,0.24735920973251008,457,0.19421670959355417,0.10698552682499975,0.23063085781164386,no freeze,0.00011572887266261447,3,352,2144.0,1184.0
158,0.2477213428851182,421,0.15492756751230558,0.1827710141601929,0.21108107027639778,no freeze,8.396553836039932e-05,3,544,2144.0,1824.0
100,0.2482571809497252,412,0.1884165487716569,0.19288843724073307,0.2985861545015512,no freeze,5.15083379300739e-05,3,544,2080.0,1696.0
54,0.2484537885550398,353,0.1619399140305676,0.16845646170836875,0.18768103188025384,freeze,5.907159488559462e-05,3,1696,544.0,1312.0
251,0.24873002231873384,469,0.18678170204135133,0.10239470026289385,0.17077801215489705,no freeze,9.265491886222605e-05,3,352,2144.0,1312.0
163,0.2488802177536057,432,0.21082071395956978,0.11119749574905642,0.14607596320473487,no freeze,7.846843020571915e-05,3,352,2080.0,1312.0
161,0.2492121245944465,501,0.2122590563511448,0.10071982334658271,0.12459973380234926,no freeze,8.076156376675352e-05,3,352,2144.0,1312.0
5643,0.24979672357103525,373,0.1744222208687575,0.2086977161757749,0.17635856762529575,no freeze,0.0003219843917717993,3,352,1504.0,1056.0
4567,0.25044986067928154,239,0.10963882305351128,0.2120606525879737,0.2057578697043735,no freeze,0.00014343272787363068,3,736,1248.0,1824.0
31,0.25111202914848446,278,0.234705870447267,0.2184122982040381,0.10272820249549391,freeze,7.423798664378778e-05,3,1888,928.0,2080.0
255,0.25141594012746954,172,0.10426908972229634,0.18250346213944307,0.2228176817168406,no freeze,0.00014601561613583207,3,544,2080.0,1184.0
102,0.25142159548256815,491,0.19329182748245524,0.18230283138940315,0.10595386269473589,no freeze,4.927506908487722e-05,3,544,1952.0,1696.0
7040,0.2516821588604496,385,0.13246430339400242,0.14294743613293034,0.3564017773653087,no freeze,0.00011906408370283225,3,352,2080.0,1440.0
87,0.2517881031072297,451,0.1866515646337474,0.12191327560949657,0.15033030741445982,freeze,0.00013120010352917177,3,1760,800.0,1248.0
153,0.25193879879475795,414,0.20216027979003554,0.186114432847885,0.10081985995530676,no freeze,8.07285499788607e-05,3,480,1824.0,1248.0
8974,0.2519720594643776,106,0.1663761129468595,0.12006141267493371,0.1259687087801751,no freeze,0.00027273260613909213,3,352,2080.0,1632.0
134,0.25227847236659323,490,0.19147847946988103,0.18335980558730947,0.22493744952059005,no freeze,9.662696967911065e-05,3,416,2016.0,1376.0
