number,value,params_EPOCHS,params_lr
14,0.40116947927355096,602,0.0019721126616370974
769,0.4069084292472572,269,0.0014687900610729436
1021,0.4119788748769659,149,0.002173642985861692
4,0.4182967003527193,367,0.0012205258756156116
3,0.41857552209171317,586,0.00037060472063431775
625,0.42174407483530657,224,0.0011329024987935463
2933,0.42213518060252175,272,0.0008488015569675052
5309,0.42299650675350586,295,0.0014810589893955689
3010,0.4253917868830501,308,0.0013127037789089806
2854,0.42622198716154447,342,0.0013337404969160566
11,0.4271388396556001,331,0.0005819178474295231
45,0.4295659569658448,275,0.0005601466747974387
1,0.43346878646986386,269,0.00010279862802517294
16,0.43573518553202556,274,0.0014333133214626944
99,0.4374866494284251,145,0.0015183026910630805
3417,0.4378549529477109,301,0.0014339292674052364
106,0.4380041685429081,158,0.0006028305092536203
5674,0.4389377067537088,205,0.0019531729643237155
226,0.4395378885894122,225,0.0008034295549204585
1239,0.4397840677967239,306,0.0008665336528990417
1600,0.4410729613986593,125,0.0013188042588210094
1254,0.4464776745244685,149,0.0020262046403345274
115,0.4551000325029667,291,0.0007266392334076071
446,0.4576588889075639,229,0.0005855992821588156
436,0.45819382568770217,96,0.0016457951332200028
6,0.4640525773734542,109,0.0001546383032936928
36,0.4693078071535786,349,0.0012364893158430242
153,0.4703745241086539,120,0.002000317194848165
27,0.47296198240138204,328,0.0006683389393132883
3029,0.4802083103985112,123,0.0019459709238854996
249,0.4977785186690296,107,0.0011871390420573498
1846,0.5272483145056543,119,0.0015679595678487956
2,0.5348988459711193,242,2.15254937848985e-05
2905,0.5354320391557451,75,0.00185482925455372
0,0.5928142227827172,101,0.011298231421187877
