number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_lr,params_n_units_l0,params_n_units_l1
5013,0.41553817537852816,532,0.17308819830498315,0.1924159785247672,0.0008263654248855612,2016,800
90,0.42959763109832405,403,0.14177803518503485,0.12457224239588433,0.0007797649612277355,1952,672
80,0.4412481607771689,554,0.12140728380322911,0.15647464612604048,0.0005173506625830549,1760,1696
76,0.441291321651358,589,0.11771530885808787,0.1520406392362147,0.00028395601863030767,1824,1248
1630,0.4436456842316855,436,0.1617718114101607,0.13495284086733061,0.00046071243117862834,2080,1312
2,0.4438306438020132,567,0.16044609643836732,0.16255180603083555,0.00015850056405938357,736,800
5,0.44780719458355667,259,0.15077456315702245,0.1814916743541478,0.0005200321034187407,2080,1632
5840,0.4540845560206061,628,0.1550978993088308,0.2609988876629566,0.0005015642653633719,2016,1760
29,0.4542722695742345,325,0.1034911699399375,0.18969497904640528,0.00025299378759258964,1760,544
2615,0.4581938497571136,269,0.146016400874475,0.10654764459114396,0.0008996411412130434,672,1568
4503,0.4762814856255284,418,0.10328754147074186,0.2777752823404212,0.001180940862314662,2016,416
99,0.47772063040847906,256,0.16181089265325727,0.18322918288910295,0.0006239213842357009,672,1504
1,0.48068868172775586,559,0.38114451314486103,0.26502854373826273,0.0009616918719795169,1696,416
5000,0.48584330968161205,567,0.17055354874067777,0.19004488540207784,0.0009927438516735758,2016,800
3,0.4901501310557471,483,0.1983977852600307,0.13245549916094945,3.9237837273013125e-05,736,1056
6,0.5039104714822427,177,0.15729731382187848,0.2427603997216802,0.0003744312915228993,608,1120
43,0.5096049791549876,655,0.14972762944786247,0.17567300423301194,0.00039255440092286287,672,1568
30,0.5262615424372132,139,0.112408048707809,0.1871549650216639,0.00025051380829796665,2016,1248
6017,0.5732035315128077,207,0.1530228736496622,0.23453429716853272,0.0007452574744052552,2016,1504
111,0.6199093426420363,76,0.11359345346458154,0.1763168580205832,0.00025994906206948235,2016,1184
124,0.6375132327978493,89,0.10394486393528508,0.1982097762818163,0.0004285656688972055,2080,1632
9,0.7015786470986624,62,0.1032490612364088,0.2595991195473387,0.00092007426158502,2144,2144
0,43.88592687359563,94,0.10757642623214908,0.18825099786676538,0.04709674665399017,1760,1312
4,564594.546263901,669,0.18300347278243062,0.10634532942963643,0.07968834778163565,1952,736
