number,value,params_EPOCHS,params_lr
4,0.3758240414067852,513,3.7074368475288785e-05
170,0.38515351351777805,296,0.00026234959332784133
5729,0.3932316524842124,133,0.0004191450677985089
134,0.39595047330946254,297,0.000318611112305586
17,0.3960351946382488,356,0.00021836633889135674
83,0.39818931189242457,326,0.00016492692282537333
62,0.39956723999985383,277,0.00019629627790033037
3663,0.39999197960602173,321,0.000547917183338461
1,0.4012339907782539,368,1.0422705524870098e-05
196,0.4016115427604207,172,0.0001720615251863803
54,0.40246600248982634,275,0.00028747109868447555
34,0.403726005888551,147,5.9404612762497836e-05
5562,0.40584018078127715,237,0.0004247887335356468
65,0.40594404354096797,212,0.00022032253689518525
1799,0.4059509036249276,297,0.00030746518254481177
265,0.4069821081712161,293,0.0003374455574290661
120,0.40814545221910925,208,0.000428743704634455
3329,0.40873551612403725,274,0.00041493360062445434
46,0.4088207267492325,246,0.00013140662803808997
78,0.4105020275328878,115,0.0002781010333852856
461,0.41072414330906143,256,0.0005631075235161543
2269,0.41224929392752874,299,0.00022680129092179707
2263,0.4130453224724099,288,0.00026367367437184767
3253,0.41340825265203823,243,0.0004564997616226259
229,0.41583195443582993,144,0.0002735057064722441
55,0.41633651040261493,171,0.00010847547511460548
30,0.4164583871585839,308,8.198204448198888e-05
273,0.4164689274408024,197,0.00027863216745393924
745,0.41706866068628456,285,0.0002686912634831197
5954,0.41708850698778577,225,0.00043378303749888825
3848,0.41755375446673465,297,0.0003620609994271037
191,0.4185989892781298,239,0.00021765651415987854
85,0.4205529505285132,188,0.0002531941659724972
77,0.42066073467077036,125,0.00024005868585776386
44,0.4208225211227203,100,0.00011608767134535125
0,0.4208466037230008,150,0.00014367946785097605
28,0.4210695815534378,315,7.653800902439709e-05
61,0.4210893319825296,174,0.00023100924405873
404,0.4225557826081021,167,0.00027282993439641353
921,0.42266661899659286,314,0.0002951332415656352
7,0.42299022530033653,264,1.8183754155704772e-05
451,0.423243213041988,250,0.00044832008634841615
139,0.4237583243238808,228,0.0002618731932747072
1085,0.4240851801625603,192,0.0002779846495319998
225,0.4249247267694227,305,0.0002177662379146905
3,0.42497728780858585,71,3.9075397993708696e-05
623,0.4264966762969508,259,0.00038532930315735123
213,0.4278114116645554,171,0.0002426794589238548
142,0.4288641270378204,185,0.00030150020901433027
11,0.4290136006107669,59,6.033654196953267e-05
405,0.4327443904536635,166,0.00022694629050358872
64,0.43382603811643194,216,0.0005466733897462183
4400,0.4346190044615755,137,0.0005515422956642382
663,0.43614433361898525,287,0.0002736251661125256
419,0.4362437115415561,180,0.00025027868660686283
5687,0.43695221693554703,319,0.0005616481036708916
505,0.43803589803326565,108,0.0004596512390596251
143,0.44061213647233805,186,0.0004076303192033011
210,0.4425366322328167,103,0.00025652407200412103
4444,0.44663299534700596,244,0.000431101310641105
563,0.44877304570755766,215,0.0002981821256615291
56,0.4541283496116989,78,0.0003190394101766343
118,0.45483284399459284,87,0.0001693267626912512
5,0.45497149809592985,73,0.0006756448536759968
6021,0.45633166340044495,106,0.000609215702996783
442,0.45777302565378,95,0.00030937350366499957
1124,0.4645028179473007,204,0.0007863940880984782
5903,0.4712446674316427,119,0.0005230835998527036
2455,0.47274797356862513,132,0.0006695855698895703
1387,0.48280619636302247,228,0.0003072926814904604
2,171898.08037479685,247,0.027075424818603446
