number,value,params_EPOCHS,params_dropout_l1,params_n_units_l1
3250,0.2826894216084205,513,0.10571819498696564,1632
4423,0.2933228251909693,264,0.11042308712978675,1632
4,0.2964275998122204,596,0.3250351559038051,1376
0,0.29757053216511076,143,0.1201173516045799,736
313,0.2981400494707864,452,0.14465507363937744,1248
1519,0.2997246093405994,510,0.11241231630196946,1568
4399,0.30104032163570654,223,0.11520364663471845,1632
1146,0.3021767902432182,503,0.2672634060265749,1632
4445,0.3044851886397892,235,0.11770953524879661,1632
50,0.3057171799859959,228,0.1435123936574215,1248
1,0.3059171798526182,425,0.1208605719465988,1120
1590,0.31200152583873475,636,0.1579231864418332,1632
1768,0.31201267442707664,543,0.15824606420164086,1568
2,0.32001615355327684,648,0.2830608500129338,736
3,0.32374723233642894,281,0.10183065009145079,672
5604,0.3333472284536566,455,0.11268418768582573,1568
3477,0.34078983016311853,152,0.15847615981640484,1376
770,0.3478455856269233,88,0.1408809970321886,1504
291,0.3706821491764172,107,0.1705078966679352,1504
7410,0.37311407047407597,123,0.18925338022572255,1632
