number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_n_units_l0,params_n_units_l1
328,0.2557519532084839,651,0.1247394504245274,0.16127245425221426,736,672
236,0.26206442760355153,192,0.16860353950752524,0.12526754095797663,736,672
4,0.26531072853230103,550,0.2992303843391405,0.11489396901907362,544,480
128,0.2667798454036761,392,0.3532386115352137,0.21261006342814676,736,672
1332,0.2669529978384529,280,0.1035591704459661,0.12282946413777328,736,736
3239,0.27107003912026645,425,0.1475927998113015,0.1289324373666213,736,672
0,0.2737305422357427,262,0.34091016620158987,0.30268014698309714,544,416
2109,0.2788068268028194,230,0.11458316018504393,0.20654208274038666,736,672
291,0.280240385165425,283,0.1284995488646209,0.16685208571371177,736,672
3,0.2803102808787541,394,0.11732015586540079,0.4951208982771536,736,608
2,0.282799162522706,293,0.17304196832964577,0.278648110968959,544,544
1,0.2830907007764031,169,0.44259701253489486,0.207274233360337,608,480
6437,0.28457190310229474,263,0.11830578656473796,0.16389360005215675,736,672
62,0.2869322600180712,206,0.2839659563904897,0.2970964528558734,736,736
1146,0.28703878952631623,181,0.16128151701012766,0.2913054548838947,736,736
5319,0.2877426910620394,309,0.13096584045176465,0.1793682206333319,736,672
240,0.2882045761062481,316,0.19278617622862249,0.12394255425979295,736,672
542,0.30053185288807444,548,0.10032458753432205,0.19096770223285894,736,672
72,0.30853293782170144,224,0.28462199820333756,0.2781201352221461,736,736
