number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_lr,params_n_units_l0,params_n_units_l1,params_n_units_l2
1094,0.25540601313047506,257,0.12847383889609165,0.13369808375821524,0.1309492126934435,0.0007753891733049708,352,672,2016
0,0.2570454038164799,635,0.14270182564916573,0.43332182385674073,0.21393443281854102,4.693920256817876e-05,1824,1632,608
52,0.26865765062591757,275,0.10978663940074979,0.11836705212709495,0.1353199777627582,0.00016782815523320345,352,2080,1760
8838,0.26976568318927463,256,0.12309225626197817,0.3394113945457157,0.1638526341348567,0.0007369966582234712,416,1184,2016
2732,0.2815504429846143,253,0.16350039267642444,0.1916726279524769,0.12719209339604987,0.0006160194199995268,352,2016,1952
5388,0.28165461795842694,209,0.11557667671195508,0.11792668567997744,0.32697467126803215,0.0003917764083934135,352,800,1952
3637,0.28217534643121867,285,0.13361076525570806,0.17304584413750967,0.35195858335595387,0.0006705454014461708,608,1952,928
4,0.28243257448273157,578,0.12442260586133778,0.11618501204563918,0.12546368211333792,5.7245308446404206e-05,1952,928,1632
37,0.2830493470568968,394,0.10785391924151465,0.4135756582051207,0.17235733622923569,0.00038673325444848805,544,544,1952
7666,0.2848315765996601,220,0.11371956328137571,0.20441229779763156,0.142725182366072,0.00044512319412488957,480,1568,1888
81,0.2870623405432781,204,0.1324740605962356,0.30426226261466055,0.14233787324492891,0.0005120412321970656,928,2016,1120
1118,0.28720029759473115,255,0.1240431352526335,0.1387121847238165,0.2761091042577202,0.0006423448500080312,352,608,2016
382,0.2873568207812194,208,0.14352782262995728,0.2299881739776617,0.2059754534330261,0.0004942134581045899,416,1952,2080
2,0.28808770408970213,428,0.1318659706963827,0.4299891019129609,0.1488629921262814,0.00011914237006593707,864,1312,2080
21,0.2882615981688421,401,0.12665643828409076,0.36371026818528457,0.14502403710913037,9.063874989698196e-05,864,1248,2144
67,0.2888761221978607,299,0.12362089213140555,0.2594852208574412,0.12134197978884824,0.00041940741793694466,736,1952,928
92,0.2916099463749558,233,0.12731175525844268,0.2856326278366618,0.14161811419779993,0.00032850612043192447,928,2144,1184
616,0.29547774674165667,225,0.13296299359570254,0.2213705267678911,0.26363743196167577,0.0004393144283706619,608,2016,544
71,0.2967732086560796,209,0.13229182448611276,0.21358212520584927,0.12571639880640556,0.0005620255536517623,736,2080,992
73,0.29687967647225477,215,0.13286650357667296,0.3006931864323765,0.14073678883714014,0.0005543955036369284,928,2016,1184
180,0.2982225767137852,542,0.11814289507133521,0.30375400933138264,0.14850297681820848,0.0004701721517899369,992,608,928
3927,0.2985935045541748,218,0.11930165964784618,0.2715857546513933,0.2196714102074857,0.0010062366407679795,544,544,2016
1418,0.29859916331383796,330,0.1809874049323602,0.2625310430734155,0.1253465697178657,0.0007740142270612045,800,2144,608
155,0.30069548532830803,184,0.13691815945221125,0.2811500765829754,0.12656373069874427,0.0008068937614689614,992,1376,480
1559,0.30073865566500607,63,0.14133778025023858,0.10052212469022162,0.12826611152025,0.0003674002344475858,352,2016,2016
2361,0.3042659022251159,305,0.14165164451491724,0.16133172721240335,0.31950058974382317,0.0005284899372353567,736,800,2080
1104,0.3071451179870285,284,0.11938958188375012,0.12916442678821247,0.1385442536910142,0.000726591880320244,352,608,1952
236,0.3076720663393957,264,0.14044063301819842,0.17342609070923407,0.356564305320124,0.0006269480385610276,992,352,992
7628,0.30805944338704616,183,0.1256630869645634,0.29298963654222315,0.10868207791286782,0.0006297187028647662,416,2016,2144
8,0.31160792203132653,78,0.12755690075470544,0.18205156238285417,0.11954058383944605,0.0006105301594792048,416,2144,2016
375,0.31235402494447656,175,0.17882031894828096,0.17788564510802837,0.1413267134602542,0.00042283538140214184,544,2016,2016
6810,0.31370204105957616,266,0.1539755818654503,0.28887936790609753,0.14182581147838202,0.0008525084890627155,416,2144,2016
9478,0.31423255229119873,192,0.1384460963558559,0.18328946178599753,0.24921291852367347,0.0006912984819993806,416,1248,1952
131,0.3156860641611525,224,0.12603145419878609,0.17991846058260552,0.12109946081527766,0.0005786745781999212,416,544,2016
318,0.32119988546706607,631,0.22566874636344542,0.20729428001014658,0.11999754712295696,0.0005663241150836475,800,1440,864
7149,0.3237585144900399,222,0.10844568681050579,0.17699002624289617,0.1421028045332249,0.0006394593169892691,864,2144,1888
118,0.3310126536361798,54,0.11708866305444017,0.13205575205723408,0.12348577777417649,0.00031604023677656983,1056,2016,1760
51,0.34144459022161955,184,0.12477285972155061,0.17501917327239822,0.12149340308765652,0.0006030731692160154,416,352,2016
69,0.347720020416232,256,0.12880293285882297,0.2652334323854073,0.10695193939403243,0.0004134826404271922,864,1504,480
902,0.348309228953178,104,0.141198455592197,0.24880232401739305,0.12109914889157536,0.000522699807666848,1120,1696,1120
3368,0.349611634804193,258,0.1435685837490054,0.1308975147173574,0.11865699286445328,0.0007839636394278175,736,2080,2144
3,0.38278885012722874,67,0.22651849804967364,0.1885299106873101,0.21711178809621326,6.562436613295142e-05,736,480,1056
8965,0.46762226251667455,196,0.10980087738514434,0.29818536775837634,0.22139071180407258,0.0012577976384777949,480,1184,2016
1,2.6686975090202343,670,0.14018061806350113,0.4541570958192324,0.3418322932846014,0.003990069432476401,1440,1184,1056
