number,value,params_EPOCHS,params_lr
112,0.5555257368153363,574,0.006338966925036591
20,0.5577214517172097,599,0.004387671402063502
385,0.5589820365975148,544,0.004625330801528794
827,0.5625307638779944,293,0.00860033125084107
2045,0.5662598537803397,258,0.0076865693020836635
10510,0.5671733861594257,484,0.010017623111101055
84,0.567703906405721,237,0.008665865638897997
6207,0.5682485692661302,118,0.010160783485019328
3111,0.5682639578716667,349,0.006015446269971849
2113,0.5692183086835414,591,0.006003867575940303
1973,0.5700821155377667,623,0.00789527922823
584,0.5731431959664258,618,0.006790806171269994
304,0.5745801531235544,622,0.007195250439698298
593,0.5761898457749447,606,0.005423580088544652
3,0.5762595463223058,671,0.0017532808284217887
333,0.5763318959905795,266,0.009378411596304242
3912,0.576646936102143,267,0.008097415360151947
432,0.5779038746748254,289,0.006654001726260561
4421,0.5780487893406826,265,0.01018083734890112
72,0.5787117272100595,202,0.005860057019812007
70,0.5791877837371315,519,0.005102394619664063
5900,0.57990610584234,129,0.012963358911214608
76,0.5810329622183757,117,0.005954129747623215
35,0.5820084072842107,604,0.0036061902478808157
260,0.5820104263081208,262,0.00712054363157506
11271,0.583272983329822,230,0.010524434963984294
7803,0.5837043898465317,573,0.009707427614067569
440,0.5837465962254647,186,0.009995147781001386
99,0.5847452115191273,619,0.007283248460938042
236,0.5858500130405345,133,0.005850436318620351
11658,0.5868098467396438,552,0.00960322621885187
47,0.5882328275878859,516,0.004562101313589882
73,0.5883333987705949,560,0.005670667646231114
11229,0.5884792774589352,622,0.009355604415132111
9473,0.5908117956436595,247,0.009335000775694043
620,0.5921085216416129,599,0.0059138789451659
11738,0.5921336135518013,114,0.006133884127465219
26,0.592231692539952,179,0.004000878319248134
4485,0.5925450820289475,273,0.010909575690923982
6,0.5929961519596058,309,0.0073559101230600945
4592,0.5939655185295339,525,0.008114265958699043
6399,0.5946337205902422,256,0.00911372800291458
1819,0.5946681408854272,253,0.007592048282545768
563,0.5948823547927913,174,0.007358822749340443
130,0.5960006045013176,292,0.006441695659942994
1,0.5967948815469356,166,0.0003952071746335595
2021,0.5972545985685361,284,0.009683271608796853
8810,0.598562080095075,554,0.012309900106640025
5134,0.5987348428715238,334,0.007208059096113709
11,0.6007549838425217,593,0.005588821760277615
545,0.6012230765557972,168,0.008822043412649645
257,0.6014531578515656,256,0.007179359993211114
5829,0.6033418375098908,569,0.01719209181235676
4594,0.603973179140957,255,0.011812495646064274
1689,0.6051517930922489,110,0.010936507445921149
4,0.605693721194016,429,0.0004851678039946335
5,0.6065318980517208,75,0.0002640058652800344
111,0.6077492640011769,573,0.006011054139372614
3905,0.6078371530063601,591,0.009801635129494638
2551,0.6124926566689131,282,0.008790923103643265
594,0.6134651155101576,139,0.006755396359051591
3140,0.6140205798765569,572,0.0115483365476292
318,0.6153868848720274,203,0.0073423566660227955
4567,0.6156978294791797,626,0.010216192971287313
2376,0.6161293812306728,153,0.015913548087991253
8237,0.6163968727960432,576,0.010789771467988332
3570,0.6164814228745675,229,0.008723786370353478
1090,0.6181713094045002,267,0.009951766054971802
6232,0.6183086642517032,274,0.009554255921709236
13,0.6191774182436295,552,0.005984945606384666
98,0.6195266356021791,626,0.00888473326795159
29,0.6199615353977819,137,0.003692310442547536
9281,0.6200385383842271,253,0.013210065406014606
105,0.6206493763544374,155,0.007259881469568288
9168,0.620700720907701,142,0.018091310715290406
7450,0.6221184415980066,616,0.01694043508680467
389,0.6226577445110647,544,0.008660371447500434
4923,0.6228872785209387,136,0.009753414228567079
165,0.623122912853307,54,0.005855268071329553
6391,0.623271846206502,280,0.008953648068492564
10156,0.6233913495405065,70,0.007794227610955819
2897,0.6254776963761928,609,0.013389552132243732
2843,0.6266168574764056,563,0.010011164277999699
559,0.6267818960581826,521,0.007594965807283945
7650,0.6270912977547602,82,0.009803784061370356
2478,0.6276584288126863,568,0.010298000234839656
10391,0.628812695312272,595,0.0156053068110015
9058,0.6289167406177162,611,0.012308052695662692
11807,0.6291620180438724,511,0.01317109963528906
83,0.6297496198050393,116,0.005351612264907966
7972,0.6302025538939368,273,0.010872272280875806
3892,0.6303782950160776,637,0.006834329495795385
5596,0.6325935330762833,145,0.016950676239020142
4649,0.6331265162624261,222,0.011453385991832809
7495,0.6338718976150832,106,0.010144134720174338
10754,0.6339660261620783,625,0.012179453459646923
2638,0.6348678155226986,291,0.011706239217459675
1321,0.6351161619164934,178,0.008151722474794572
8,0.6353181368490396,649,0.0032707799046905652
457,0.6359249174674645,166,0.006730444503767907
5659,0.6362493485952146,174,0.016329148323204413
3771,0.6374734857733337,244,0.016029874363836044
163,0.6386946576489017,171,0.007379882441511979
2096,0.6387381790822231,587,0.009350235142183395
9,0.6392353222842538,333,0.007901324018001255
2730,0.6399988403670906,302,0.004721748992155562
11555,0.6404370782067208,391,0.01440595407584743
8564,0.6407133335228179,262,0.008143082355474543
175,0.6425117412908138,629,0.00919161555684306
2547,0.6430246964982591,92,0.005526641278225174
6792,0.6444391487121208,587,0.007854225410600529
1475,0.6446434985867995,278,0.008762642978011177
1471,0.6446498073942709,280,0.01259982589580733
2084,0.6452253326952514,538,0.00825202468574642
4595,0.6462192265541078,249,0.010530779174996785
9960,0.6462613862342268,612,0.015215178923148786
701,0.648278290953231,599,0.009550735523229334
229,0.6487064992800152,136,0.008151329989748756
7899,0.6495422396539898,637,0.009222414556371612
910,0.6501891868296632,306,0.009438074952039466
468,0.6512811388825641,508,0.005264592548431612
108,0.6515763187630597,211,0.00982447032103673
5931,0.6534721084126668,561,0.010736177994210729
11732,0.6567783469928535,675,0.008855023923771197
2798,0.6570666188604813,225,0.012725991964974256
944,0.6579181203664916,276,0.008480247100869295
271,0.6581039343327845,149,0.0062536420959761665
3035,0.6600238056964762,650,0.011407246778232693
8571,0.6603118606992103,594,0.011002371069638908
11409,0.6626694364649232,600,0.012542643420011042
653,0.6633146500043529,150,0.01374086683681612
3517,0.663649835211227,269,0.0076250461262594915
1024,0.6653248883188119,262,0.007338317862358771
8649,0.6681902290748918,241,0.010004704522177398
3770,0.6698945992340156,614,0.015964458436474687
3828,0.6706279279719793,230,0.009678363588180763
7429,0.6713111805982768,291,0.01282908905597529
7167,0.671337859227403,624,0.008422819939667038
4626,0.6732994354486939,279,0.009901435967933418
