number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
50,0.2603957503759041,303,0.1666905982689053,0.25356014704335006,0.34661607356540747,0.0003709509709052021,3,608,1312.0,672.0
150,0.2629413537637532,207,0.11194719624226421,0.1663813713515777,0.4991483912447945,0.00037907011426303893,3,672,864.0,352.0
93,0.2642247780138799,296,0.1280862514235027,0.24700184434263608,0.3609610642891571,0.00071640278171659,3,736,1440.0,480.0
374,0.2653549192040319,354,0.13185167439987597,0.3684002868190976,0.25003569333757186,0.0004183837044893877,3,416,544.0,480.0
149,0.26654606155367827,187,0.11398242166564684,0.1790043647703397,0.49787266229463173,0.000531251542843099,3,352,800.0,352.0
1,0.2668858033267679,674,0.38016574325663366,0.13243426928772814,0.271383766320122,7.671795333207476e-05,3,608,608.0,992.0
45,0.26854578420773845,392,0.1121342763728451,0.1612757945705394,0.30623990424335534,0.00041658091656184264,3,608,1376.0,2080.0
124,0.2685600387877383,248,0.22315952227160996,0.12766898405271523,0.304963718276084,0.0002741654600623846,3,800,672.0,1312.0
16,0.26882153487261146,558,0.38245926817702935,0.13272673049869935,0.4119818592547431,0.0001082515124317324,3,608,416.0,1952.0
3704,0.27097023930681374,427,0.1619426311793041,0.13505502911346973,0.11977692262524005,0.0008011382898771522,3,352,608.0,1632.0
2725,0.27178792520950285,314,0.16606713546408033,0.21247920266385412,0.2308963743733803,0.0004337858279600967,3,480,1376.0,1632.0
70,0.2718603053426005,305,0.21351728494056985,0.1835629982298678,0.4040864354781707,0.00025386975979252175,3,800,1312.0,1696.0
28,0.2726667675159071,422,0.12075966449777081,0.20695212570827315,0.15305739644246397,0.0005894474302356166,3,352,1056.0,1568.0
3389,0.27454741509074126,271,0.14151820937244147,0.4084093317602901,0.2958975259002676,0.0003670827365186624,3,352,1248.0,1440.0
25,0.2749397519463939,313,0.10741788313152535,0.15968599318777194,0.496086617365679,0.00019920805528949776,3,864,992.0,1184.0
24812,0.2750238838568233,316,0.10485579999818606,0.26523954139151606,0.20350434225046063,0.000532393210433397,3,480,1120.0,1824.0
