number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_freeze,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
8186,0.23811154137151788,91,0.11995375118561064,0.1328133625618878,0.25168682748208865,no freeze,0.0002564849408179943,3,672,1760.0,1504.0
74,0.2401109302261941,76,0.11972437042693966,0.14865000644508206,0.2033696576571589,no freeze,0.00022134802051479763,3,1120,1760.0,1696.0
108,0.24159514478886507,111,0.1138237151208331,0.12137923167915617,,no freeze,0.00012530926267873606,2,1312,1824.0,
8972,0.24354435666055502,193,0.11103106234591273,0.2141293306595527,0.2797336365151671,no freeze,0.0002693398081901374,3,1376,1632.0,1632.0
77,0.2452659444644609,238,0.11846335976299766,0.15162985520289443,0.21382366021625546,no freeze,0.00015360203614974495,3,1376,1696.0,1824.0
8576,0.24808052989963908,163,0.12363171249903283,0.12384287012743639,0.16725184039621258,no freeze,0.00021316492327566207,3,1376,2016.0,1760.0
47,0.25103771931600294,192,0.1080463246388866,0.18666549840685256,,no freeze,0.000167507036380512,2,1440,736.0,
233,0.2510911472912041,118,0.16051532339264074,0.14054310946135048,0.20181816631773192,no freeze,0.000282703250550103,3,608,1760.0,1376.0
9348,0.2520670607217815,163,0.11257606861214109,0.1036438474722846,0.3420689757641647,no freeze,0.0003007571743396028,3,800,1760.0,1824.0
327,0.2535378930403093,78,0.15771846507909262,0.1119643469981706,0.16234221496429052,no freeze,0.0002641253157623887,3,608,1952.0,1632.0
72,0.25382847648448265,123,0.11922623498883561,0.14921028478515092,0.17106690323998314,no freeze,0.00024651539483067927,3,1184,2016.0,1312.0
13425,0.25414183095182596,61,0.11012357623781753,0.43615460992625416,0.33990682173730474,no freeze,0.0002814060858322637,3,416,1952.0,1632.0
19285,0.255117199580519,72,0.10958870052847793,0.15084549629074065,0.4028445213767963,no freeze,0.00022184035463453054,3,608,1696.0,1952.0
9319,0.25574057018628554,88,0.11409764356959778,0.4745816240634781,0.2884573675351211,no freeze,0.0002586014201318948,3,1312,1696.0,1504.0
9917,0.257258634013074,104,0.2610298129700666,0.19088742203568862,0.1316006812749438,no freeze,0.00029537356018622025,3,1440,1632.0,1376.0
