number,value,params_EPOCHS
1,0.25544125190946537,676
8075,0.25697805005076224,188
7985,0.25751527688204956,327
2,0.25773432692281384,428
1483,0.259344786012826,330
328,0.2631276091875043,366
354,0.2676514145517272,140
193,0.26867249959496475,387
4281,0.26954840434871324,342
5,0.27100433125908013,622
2265,0.27127501331713716,251
59,0.2713919510897652,355
3111,0.2737199790129415,423
0,0.2744366284304647,95
474,0.2754112297763382,477
296,0.27712422280623117,130
8,0.27727941886627683,251
542,0.27742256054182923,363
304,0.2780441579607399,151
1244,0.2782083877773248,159
3,0.27956273681997457,190
1160,0.2813990186753711,357
2363,0.28167675406028486,323
7,0.28867570994346015,307
1191,0.2911731808863183,81
582,0.2912138802047644,157
4,0.29205456286109205,62
265,0.29852730442172193,295
