number,value,params_EPOCHS,params_dropout_l1,params_n_units_l1
530,0.3190110730151736,675,0.20312301991320608,2016
660,0.329348934476556,812,0.18061048627107926,2016
2,0.3356339627231053,963,0.118297426794811,1696
1,0.3394242399955591,290,0.18562178299045687,1440
1584,0.34157198117668386,720,0.1285408380427391,1952
347,0.3431981376995989,257,0.13077744644721853,1952
242,0.3452262339717387,694,0.3479660111166635,2016
4,0.3466113351519196,987,0.3408821129395313,1952
0,0.3559149246624784,428,0.3129583726661939,1504
1887,0.36893295002633614,731,0.13043120613466225,1952
798,0.3790643390331112,692,0.13253387681503515,1952
3,0.3823915527186439,434,0.20310089745956095,1952
1578,0.39178958988373486,625,0.1339612408829203,1952
