number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_n_units_l0,params_n_units_l1
683,0.28207485836598883,556,0.10665976297854243,0.11640344357566604,1824,1696
0,0.2937770617473193,614,0.1436271159232462,0.1509990282488473,1440,1184
3956,0.2988289720310826,633,0.14925476670680676,0.13608488624035972,1440,1056
2,0.3039341844042324,498,0.15311502835542434,0.279996638112236,1568,992
4,0.30567582179439284,283,0.12358079607030596,0.11096401684098921,1568,1696
140,0.31835559740592106,483,0.17257917641970347,0.17816297655351948,1696,928
27,0.32142377158076874,200,0.11272961802902196,0.12392116395171703,1248,1824
1720,0.3296567744730619,317,0.1576623291835337,0.1601377404242409,1248,1248
1,0.34195168146852967,100,0.25313381523651113,0.10334749398070876,1632,1312
6940,0.3468633077766296,220,0.10008506090075393,0.1133814117259645,1568,1632
3,0.36160147071533105,125,0.10033864946867295,0.1412004101013652,352,416
