number,value,params_EPOCHS,params_dropout_l1,params_n_units_l1
3493,0.46366050283619425,764,0.12503642618255387,1952
761,0.4643693408100994,791,0.12143553435735907,1504
0,0.4663933561163328,869,0.21584585164444745,1824
1,0.46641312828410936,777,0.12193225191006701,1056
2,0.4664821708441879,577,0.12457734883891496,1952
1557,0.46926575141373045,716,0.11609491286410555,1952
5649,0.47356584447719596,873,0.12177327235778478,2016
97,0.4913268088552734,832,0.12164400951499847,1568
4098,0.498538699515069,858,0.12663241483195994,1824
3,0.5042972338339883,876,0.18173565907954917,800
1885,0.5085906047227507,864,0.11946752783235542,2016
4,0.5141130376576634,330,0.2903041671000174,1440
5310,0.5269047371163639,201,0.10819511397990027,1824
