number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_n_units_l0,params_n_units_l1
4993,0.4119590377145256,471,0.12534946219186108,0.2403397127942421,1632,1504
4780,0.4140403277174773,585,0.11257340603803992,0.4415030582792368,1632,1760
416,0.41954559517505613,512,0.12233258897112088,0.3140643493610241,1696,1824
88,0.4228644947335865,611,0.12710368810881567,0.21687919946054177,1696,1376
11,0.43333375633910726,582,0.10722181165525241,0.10398633285824405,1440,1184
1319,0.43537343632449915,462,0.14130648497481607,0.1392167465441548,1632,1504
60,0.4387611811310288,469,0.10556960462612046,0.11341290786446387,736,1696
1136,0.4406325999006738,640,0.12468449458549115,0.31447844653968665,1824,736
2403,0.4416534235181239,442,0.13067403761871857,0.13904123514130878,1504,1440
4,0.4472863155751923,532,0.10581392492188929,0.48212356956723357,608,736
9489,0.45214829731470574,527,0.11602992129569259,0.27334544123898663,1696,1312
7515,0.45248889104369416,478,0.12640119325835664,0.2858216000210423,1632,1568
8176,0.454074410883178,560,0.12962458262918666,0.38168407465331444,1760,1568
129,0.46068934616792967,527,0.10966735981314368,0.3688713595539867,544,1504
5924,0.46159730548440875,585,0.14298174563853544,0.11160558326921882,1888,1504
6756,0.46266793831364,291,0.1563000525595406,0.15773922385627062,1952,1504
4223,0.4643599605363149,580,0.12761590361183156,0.3857017491075845,1632,736
9109,0.46726875732500517,581,0.11607730126375786,0.14374742996490306,1696,800
2,0.46791752946051896,494,0.14384436492093478,0.14578888876948207,1568,1376
1994,0.47464122834764977,545,0.13661972043966997,0.1621371337985747,1568,1440
91,0.4748543209024589,506,0.10677072533711786,0.19892712020539582,1760,1312
109,0.4776533224898847,495,0.10809734112223632,0.1393287870991376,1632,1696
1293,0.48051052218893386,593,0.27175173795981744,0.251897501187961,1696,1504
114,0.48083011918047913,543,0.11828883916522161,0.1300473147344671,1952,1568
815,0.48658076506839176,314,0.1283082963362259,0.41259031104581056,1376,800
0,0.48729797874214453,441,0.33331896966735275,0.1554985262083637,736,608
3557,0.49901165809815545,499,0.11222512710760392,0.13507667326557413,1568,1568
5009,0.5233641596728477,468,0.12602188625042823,0.2317290540191143,1440,1504
1,0.524990544310034,260,0.40981816961839607,0.3369602852126663,1568,1376
259,0.5874785577796858,78,0.1036860547363178,0.46524804812514137,864,1504
2146,0.6048920395758978,61,0.16674696218960158,0.13499523576065187,1440,1504
440,0.6095844870491096,90,0.10628763634248932,0.20329565262406082,1504,1504
970,0.6264782013141781,67,0.2224630178775043,0.1362682920653847,1632,1248
3406,0.6320755831375613,64,0.1370689423919414,0.3452291278308819,1632,1632
51,0.6325587916398254,63,0.10002120553891038,0.13814280324912165,1760,672
3,0.6463986508981816,180,0.33254250541445896,0.18934623937556722,2016,928
955,0.6477863475029685,82,0.12141202727754355,0.19113507022125104,1888,1760
3409,0.6552246006200022,62,0.13992266717538712,0.3511408938619768,1632,1632
