number,value,params_EPOCHS,params_dropout_l1,params_n_units_l1
2,0.2784138922822526,196,0.3928150650696509,736
847,0.2821752229007555,528,0.11030901190451144,800
2497,0.28269951647632263,610,0.1693655813884465,800
759,0.28454461120768537,439,0.10602485971281907,1312
24,0.28920048085717504,433,0.2101420367019727,864
3,0.2908917907021485,600,0.46199726585820056,2016
451,0.2925470910745059,514,0.40253965684230736,1120
1208,0.29341817064956693,947,0.2940270146617239,2016
1499,0.29380141965222617,439,0.22372070672219208,1376
3594,0.2942864316725324,192,0.16311376633506963,1056
9936,0.29462632914752385,606,0.1064282248292939,864
61,0.2953351969206446,513,0.202165167171632,1312
0,0.29609813429758924,939,0.24367128949043126,544
1610,0.2961897463516063,574,0.1121428862689414,800
1337,0.2964167214577133,572,0.11434124299045315,1120
4063,0.29654173021853575,675,0.11639648726098145,1824
3243,0.29834835170301494,729,0.23333820935894575,1504
320,0.2985045045087551,339,0.34578657311147415,1184
8577,0.3075373687367833,704,0.19704578378947937,736
1676,0.30824346070287867,511,0.21620722906202045,2016
3804,0.30916493604765627,413,0.10815355248260186,864
123,0.30953969916631313,804,0.23854181892464807,928
4952,0.31021837912972144,690,0.1412382791996038,1184
4,0.312858925019256,489,0.4132405697865933,1504
1266,0.31564140704753163,436,0.14384562814815444,1312
1,0.3175833918819882,696,0.29717438792986106,736
221,0.32793505067155854,133,0.23210191113966147,1696
